player_id,player_lastname,player_firstname,season,draymond
williel01,Williams,Elliot,2014,-2.1919999999999997
willide01,Williams,Deron,2014,-0.077
willide01,Williams,Deron,2015,-1.2409999999999999
willide01,Williams,Deron,2017,-0.09699999999999999
willide01,Williams,Deron,2016,0.23800000000000002
willilo02,Williams,Lou,2015,-0.948
willilo02,Williams,Lou,2016,1.104
willilo02,Williams,Lou,2017,-1.192
willilo02,Williams,Lou,2018,-0.5820000000000001
willilo02,Williams,Lou,2019,-1.669
willilo02,Williams,Lou,2014,-1.485
willish03,Williams,Shawne,2014,0.195
willish03,Williams,Shawne,2015,-1.7380000000000002
willima01,Williams,Mo,2016,0.15
willima01,Williams,Mo,2015,0.065
willima01,Williams,Mo,2014,-1.197
willima02,Williams,Marvin,2019,-1.219
willima02,Williams,Marvin,2018,-0.292
willima02,Williams,Marvin,2017,0.71
willima02,Williams,Marvin,2016,0.14300000000000002
willima02,Williams,Marvin,2015,0.907
willima02,Williams,Marvin,2014,0.113
willial03,Williams,Alan,2016,2.122
willial03,Williams,Alan,2019,8.127
