player_id,player_lastname,player_firstname
scolalu01,Scola,Luis
scottmi01,Scott,Mike
sefolth01,Sefolosha,Thabo
seldewa01,Selden,Wayne
serapke01,Seraphin,Kevin
sessira01,Sessions,Ramon
sextoco01,Sexton,Collin
shakumu01,Shakur,Mustafa
shamela01,Shamet,Landry
shengto01,Shengelia,Tornike
shumpim01,Shumpert,Iman
shvedal01,Shved,Alexey
siakapa01,Siakam,Pascal
siberjo01,Sibert,Jordan
silasxa01,Silas,Xavier
simmobe01,Simmons,Ben
simmojo02,Simmons,Jonathon
simmoko01,Simmons,Kobi
simonan01,Simons,Anfernee
simshe01,Sims,Henry
singlky01,Singler,Kyle
singlch01,Singleton,Chris
sivape01,Siva,Peyton
sloando01,Sloan,Donald
smartma01,Smart,Marcus
smithis01,Smith,Ish
smithja02,Smith,Jason
smithjo03,Smith,Josh
smithru01,Smith,Russ
smithjr01,Smith,J.R.
smithgr02,Smith,Greg
smithde03,Smith,Dennis
smithzh01,Smith,Zhaire
smithch05,Smith,Chris
snellto01,Snell,Tony
southja01,Southerland,James
spaldra01,Spalding,Ray
speigma01,Speights,Marreese
spellom01,Spellman,Omari
splitti01,Splitter,Tiago
stausni01,Stauskas,Nik
stephdj01,Stephens,D.J.
stephla01,Stephenson,Lance
stephal01,Stepheson,Alex
stiemgr01,Stiemsma,Greg
stockda01,Stockton,David
stokeja01,Stokes,Jarnell
stoneju01,Stone,Julyan
stonedi01,Stone,Diamond
stoudam01,Stoudemire,Amar'e
stuckro01,Stuckey,Rodney
sullija01,Sullinger,Jared
sumneed01,Sumner,Edmond
swanica01,Swanigan,Caleb
tatumja01,Tatum,Jayson
tavarwa01,Tavares,Edy
tayloty01,Taylor,Tyshawn
tayloje03,Taylor,Jeffery
taylois01,Taylor,Isaiah
teaguje01,Teague,Jeff
teaguma01,Teague,Marquis
teletmi01,Teletovic,Mirza
telfase01,Telfair,Sebastian
templga01,Temple,Garrett
teodomi01,Teodosic,Milos
terreja01,Terrell,Jared
terryem01,Terry,Emanuel
terryja01,Terry,Jason
thabeha01,Thabeet,Hasheem
theisda01,Theis,Daniel
thomais02,Thomas,Isaiah
thomala01,Thomas,Lance
thomakh01,Thomas,Khyri
thomaad01,Thomas,Adonis
thomama01,Thomas,Malcolm
thomaty01,Thomas,Tyrus
thompho01,Thompson,Hollis
thompja02,Thompson,Jason
thomptr01,Thompson,Tristan
thompkl01,Thompson,Klay
thornma01,Thornton,Marcus
thornsi01,Thornwell,Sindarius
tinslja01,Tinsley,Jamaal
tobeymi01,Tobey,Mike
tollian01,Tolliver,Anthony
